"","author","title"
"6120","Aigle M","Efficient use of DNA molecular markers to construct industrial yeast strains"
"6121","Aigle M","Single QTL mapping and nucleotide-level resolution of a physiologic trait in wine Saccharomyces cerevisiae strains"
"6122","Aigle M","Characterization of natural hybrids of Saccharomyces cerevisiae and Saccharomyces bayanus var. uvarum"
"6123","Aigle B","Targeted gene disruption of the cyclo (L-Phe, L-Pro) biosynthetic pathway in Streptomyces sp US24 strain"
"6124","Aigle M","Molecular typing of wine yeast strains Saccharomyces bayanus var. uvarum using microsatellite markers"
"6125","Aigle M","In situ gene expression in cheese matrices: Application to a set of enterococcal genes"
"6126","Aigle B","Regulation of the synthesis of the angucyclinone antibiotic alpomycin in Streptomyces ambofaciens by the autoregulator receptor AlpZ and its specific ligand"
"6127","Aigle B","SIGffRid: A tool to search for sigma factor binding sites in bacterial genomes using comparative approach and biologically driven statistics"
"6128","Aigle D","Secure of the bi-site radiotherapy activity as part of the resumption of treatments in the Hospital of Epinal by the team of Alexis Vautrin Nancy Cancer Center"
"6129","Aigle M","Evidence for autotetraploidy associated with reproductive isolation in Saccharomyces cerevisiae: towards a new domesticated species"
"6130","Aigle D","Safety and quality assurance management in radiation oncology ""What is the role for qualiticians?"": Example of the Centre Alexis Vautrin"
"6131","Aigle B","A New Data Mining Approach for the Detection of Bacterial Promoters Combining Stochastic and Combinatorial Methods"
"6132","Aigle M","Diversity and dynamics of the microbial community during the manufacture of Calenzana, an artisanal Corsican cheese"
"6133","Aigle B","Integrative Gene Cloning and Expression System for Streptomyces sp US 24 and Streptomyces sp TN 58 Bioactive Molecule Producing Strains"
"6134","Aigner F","Rumpling of LiF(001) surface from fast atom diffraction"
"6135","Aigner B","Mutation of the Na+-K+-2Cl(-) cotransporter NKCC2 in mice is associated with severe polyuria and a urea-selective concentrating defect without hyperreninemia"
"6136","Aigner S","Potential roughness near lithographically fabricated atom chips"
"6137","Aigner M","Phase-resolved laser diagnostic measurements of a downscaled, fuel-staged gas turbine combustor at elevated pressure and comparison to LES predictions"
"6138","Aigner S","Designing potentials by sculpturing wires"
"6139","Aigner T","Neurodevelopmental deficits in Pierson (microcoria-congenital nephrosis) syndrome"
"6140","Aigner F","Suppression of Decoherence in Fast-Atom Diffraction at Surfaces"
"6141","Augros M","Placenta percreta at first trimester of pregnancy. Diagnostic and decision-making difficulties: About a case and a review of the literature"
"6142","Augris C","Effects of candidaemia on outcome of burns"
"6143","Aigrain S","ASTEP 400: a telescope designed for exoplanet transit detection from Dome C, Antarctica"
"6144","Aigrain Y","ABCC8 and KCNJ11 molecular spectrum of 109 patients with diazoxide-unresponsive congenital hyperinsulinism"
"6145","Aigrain S","Exoplanet discoveries with the CoRoT space observatory"
"6146","Aigrain S","Possible detection of phase changes from the non-transiting planet HD 46375b by CoRoT"
"6147","Aigrain S","Transiting exoplanets from the CoRoT space mission XIII. CoRoT-13b: a dense hot Jupiter in transit around a star with solar metallicity and super-solar lithium content"
"6148","Aigrain S","Transiting exoplanets from the CoRoT space mission XIV. CoRoT-11b: a transiting massive ""hot-Jupiter"" in a prograde orbit around a rapidly rotating F-type star"
"6149","Aigrain S","Accretion dynamics and disk evolution in NGC 2264: a study based on CoRoT photometric observations"
"6150","Aigrain S","Photospheric activity, rotation, and radial velocity variations of the planet-hosting star CoRoT-7"
"6151","Aigrain S","Transiting exoplanets from the CoRoT space mission X. CoRoT-10b: a giant planet in a 13.24 day eccentric orbit"
"6152","Aigrain S","Transiting exoplanets from the CoRoT space mission XI. CoRoT-8b: a hot and dense sub-Saturn around a K1 dwarf"
"6153","Aigrain S","Transiting exoplanets from the CoRoT space mission XII. CoRoT-12b: a short-period low-density planet transiting a solar analog star"
"6154","Aigrain Y","Hypospadias: Surgery and Complications"
"6155","Aigrain S","The secondary eclipse of the transiting exoplanet CoRoT-2b (vol 501, pg L23, 2009)"
"6156","Aigrain Y","Congenital hyperinsulinism"
"6157","Aigrain Y","Combining keratinocyte growth factor transfection into the airways and tracheal occlusion in a fetal sheep model of congenital diaphragmatic hernia"
"6158","Aigrain Y","Renal transplantation in children: Critical analysis of age related surgical complications"
"6159","Aigrain S","The SARS algorithm: detrending CoRoT light curves with Sysrem using simultaneous external parameters"
"6160","Aigrain S","Transiting exoplanets from the CoRoT space mission IX. CoRoT-6b: a transiting ""hot Jupiter"" planet in an 8.9d orbit around a low-metallicity star"
"6161","Aigrain S","Transit timing analysis of CoRoT-1b (Research Note)"
"6162","Aigrain S","ASTEP South: an Antarctic Search for Transiting ExoPlanets around the celestial south pole"
"6163","Aigrain S","A transiting giant planet with a temperature between 250 K and 430 K"
"6164","Aigrain S","The spin-orbit angle of the transiting hot Jupiter CoRoT-1b star"
"6165","Aigrain Y","Expression of TLR-2, TLR-4, NOD2 and pNF-kappa B in a Neonatal Rat Model of Necrotizing Enterocolitis"
"6166","Aigrain Y","Gastrointestinal complications of post-diarrheal hemolytic uremic syndrome"
"6167","Aigrain Y","Solid-pseudopapillary tumor (SPT) of the pancreas in children treated by chemotherapy after peritoneal mestastases"
"6168","Aigrain S","Efficient identification of exoplanetary transit candidates from SuperWASP light curves"
"6169","Aigrain S","The Monitor project: JW 380-a 0.26-, 0.15-M-circle dot, pre-main-sequence eclipsing binary in the Orion nebula cluster"
"6170","Aigrain Y","Coexistence in the same family of both focal and diffuse forms of hyperinsulinism"
"6171","Aigrain S","The Monitor project: rotation of low-mass stars in the open cluster NGC 2516"
"6172","Aigrain Y","Duhamel operation vs neonatal transanal endorectal pull-through procedure for Hirschsprung disease: which are the changes for pathologists?"
"6173","Aigrain S","The Monitor project: data processing and light curve production"
"6174","Aigrain Y","Neonatal hyperinsulinism: clinicopathologic correlation"
"6175","AAgren H","Elastic peak of K shell excited HCl molecule: Comparison HCl-DCl - Experiment and theory"
"6176","Aigrain S","WASP-1b and WASP-2b: two new transiting exoplanets detected with SuperWASP and SOPHIE"
"6177","Aigrain S","The Monitor project: searching for occultations in young open clusters"
"6178","Aigrain S","Expected performance of the CoRoT planet search from light curve beauty contests"
"6179","Aigrain S","A step: Towards a large photometric survey for exoplanets at Dome C"
"6180","Aigrain Y","Is Intestinal Transplantation the Future of Children with Definitive Intestinal Insufficiency?"
"6181","Aigrain Y","Chromosome 11p15 Paternal Isodisomy in Focal Forms of Neonatal Hyperinsulinism"
"6182","Aigrain Y","Intestinal transplantation for total intestinal aganglionosis: a series of 12 consecutive children"
"6183","Aigrain S","Transiting exoplanets from the CoRoT space mission - IV. CoRoT-Exo-4b: a transiting planet in a 9.2 day synchronous orbit"
"6184","Aigrain S","Transiting exoplanets from the CoRoT space mission - V. CoRoT-Exo-4b: stellar and planetary parameters"
"6185","Aigrain Y","Renal transplant in methylmalonic acidemia: A therapeutic option with or without renal failure"
"6186","Aigrain Y","Pancreatic dopamine metabolism in congenital hyperinsulinism. A [18F]fluoro-L-dopa pet study"
"6187","Aigrain Y","Preoperative Wilms tumor rupture - A retrospective study of 57 patients"
"6188","Aagren M","Late-stage, primary open-angle glaucoma in Europe: Social and health care maintenance costs and quality of life of patients from 4 countries"
"6189","Aigrain S","Transiting exoplanets from the CoRoT space mission"
"6190","Aigrain S","Transiting exoplanets from the CoRoT space mission"
"6191","Aigrain S","Transiting exoplanets from the CoRoT space mission - III. The spectroscopic transit of CoRoT-Exo-2b with SOPHIE and HARPS"
"6192","Aigrain S","WASP-3b: a strongly irradiated transiting gas-giant planet"
"6193","Aigrain Y","Partial unilateral ureteral obstruction in newborn mice: Magnetic resonance imaging and pathology studies"
"6194","Aigrain Y","Neuronal nitric oxide synthase does not contribute to the modulation of pulmonary vascular tone in fetal lambs with congenital diaphragmatic hernia (nNOS in CDH lambs)"
"6195","Aigrain S","The Monitor project: rotation of low-mass stars in NGC 2362 - testing the disc regulation paradigm at 5 Myr"
"6196","Aigrain S","The Monitor project: rotation of low-mass stars in the open cluster NGC 2547"
"6197","Aigrain Y","Ventilation-induced pulmonary vasodilatation in lambs with congenital diaphragmatic hernia is modulated by nitric oxide"
"6198","Aigrain Y","Long-term outcome of prenatally detected posterior urethral valves: Single center study of 65 cases managed by primary valve ablation"
"6199","Aigrain Y","Predictive value of post-operative glycosuria after partial elective pancreatectomy in focal congenital hyperinsulinism"
"6200","Aigrain S","Accuracy of stellar parameters of exoplanet-host stars determined from asteroseismology"
"6201","Aigrain S","Photospheric activity and rotation of the planet-hosting star CoRoT-4a"
"6202","Aigrain S","Transiting exoplanets from the CoRoT space mission VII. The ""hot-Jupiter""-type planet CoRoT-5b"
"6203","Aigrain S","Transiting exoplanets from the CoRoT space mission VIII. CoRoT-7b: the first super-Earth with measured radius"
"6204","Aigrain S","Planetary transit candidates in the CoRoT initial run: resolving their nature"
"6205","Aigrain S","Rate and nature of false positives in the CoRoT exoplanet search"
"6206","Aigrain S","Ground-based photometry of space-based transit detections: photometric follow-up of the CoRoT mission"
"6207","Aigrain S","The secondary eclipse of CoRoT-1b"
"6208","Aigrain S","Noise properties of the CoRoT data A planet-finding perspective"
"6209","Aigrain S","Removing systematics from the CoRoT light curves I. Magnitude-dependent zero point"
"6210","Aigrain S","Planetary transit candidates in Corot-IRa01 field"
"6211","Aigrain S","Planetary transit candidates in CoRoT-LRc01 field"
"6212","Aigrain Y","Female Epispadias Management: Perineal Urethrocervicoplasty Versus Classical Young-Dees Procedure"
"6213","Aigrain Y","Value of F-18-fluoro-L-dopa PET in the Preoperative Localization of Focal Lesions in Congenital Hyperinsulinism"
"6214","Aigrain S","Spin-orbit misalignment in the HD80606 planetary system"
"6215","Aigrain S","The secondary eclipse of the transiting exoplanet CoRoT-2b"
"6216","Aigrain L","Structure of the open conformation of a functional chimeric NADPH cytochrome P450 reductase"
"6217","Aigrain Y","Medullary thyroid carcinoma identified within the first year of life in children with hereditary multiple endocrine neoplasia type 2A (codon 634) and 2B"
"6218","Aigrain S","WASP-12b: THE HOTTEST TRANSITING EXTRASOLAR PLANET YET DISCOVERED"
"6219","Aigrain L","Cloning, purification, crystallization and preliminary X-ray analysis of a chimeric NADPH-cytochrome P450 reductase"
"6220","Aigrain S","Modelling solar-like variability for the detection of Earth-like planetary transits II. Performance of the three-spot modelling, harmonic function fitting, iterative nonlinear filtering, and sliding boxcar filtering"
"6221","Aigrain S","The Monitor project: rotation periods of low-mass stars in M50"
"6222","Aigrain S","Magnetic activity in the photosphere of CoRoT-Exo-2a Active longitudes and short-term spot cycle in a young Sun-like star"
"6223","Aigrain S","Searching for the secondary eclipse of CoRoT-Exo-2b and its transit timing variations"
"6224","Aigrain EJ","High prevalence but different hormonal profiles of hirsutism, menstrual disturbance and polycystic ovarian syndrome among obese (OB) or type 1 diabetic adolescents (DM)"
"6225","Aigrot MS","Oligodendrocyte development and myelinogenesis are not impaired by high concentrations of phenylalanine or its metabolites"
"6226","Aigrot MS","Semaphorin 3A and 3F: key players in myelin repair in multiple sclerosis?"
"6227","Aigrot M","Imaging demyelination and remyelination in the CNS: the promise of positron emission tomography"
"6228","Aigrot MS","Imaging demyelination and remyelination in the CNS: the promise of Positron Emission Tomography (PET)"
"6229","Aigrot MS","Sernaphorin 3A and 3F: key players in myelin repair in Multiple Sclerosis?"
"6230","Aigrot MS","Development of positron emission tomography imaging techniques to visualize central nervous system myelin"
"6231","Aigrot MS","Myelin repair in the central nervous system: role of guidance molecules"
"6232","Aigrot MS","ROLE OF SEMAPHORINS 3A AND 3F IN ADULT OLIGODENDROCYTE PRECURSOR CELL (OPC) RECRUITMENT AND MYELIN REPAIR"
"6233","Aigrot MS","Melatonin Promotes Oligodendroglial Maturation of Injured White Matter in Neonatal Rats"
"6234","Augsburger L","Treatment of renal artery aneurysm with the multilayer stent"
"6235","Augsdorfer P","Managing the unmanageable"
"6236","Augspurger C","Process-based modeling of species' distributions: What limits temperate tree species' range boundaries?"
"6237","Augspurger C","Leaf phenology in 22 North American tree species during the 21st century"
"6238","Augsten K","Charged-particle multiplicities in pp interactions at root s=900 GeV measured with the ATLAS detector at the LHC ATLAS Collaboration"
"6239","Augsten K","Observation of a Centrality-Dependent Dijet Asymmetry in Lead-Lead Collisions at root s(NN)=2.76 TeV with the ATLAS Detector at the LHC"
"6240","Augsten K","Performance of the ATLAS detector using first collision data"
"6241","Augsten K","Readiness of the ATLAS liquid argon calorimeter for LHC collisions"
"6242","Augsten K","Drift Time Measurement in the ATLAS Liquid Argon Electromagnetic Calorimeter using Cosmic Muons"
"6243","Augsten K","The ATLAS Inner Detector commissioning and calibration"
"6244","Augsten K","The ATLAS Simulation Infrastructure"
"6245","Augsten K","Commissioning of the ATLAS Muon Spectrometer with cosmic rays"
"6246","Augsten K","Readiness of the ATLAS Tile Calorimeter for LHC collisions"
"6247","Augsten K","Search for New Particles in Two-Jet Final States in 7 TeV Proton-Proton Collisions with the ATLAS Detector at the LHC"
"6248","Augsten K","The ATLAS Experiment at the CERN Large Hadron Collider"
"6249","Augsten M","Functional mitochondria are required for alpha-synuclein toxicity in aging yeast"
"6250","Auguy F","Contribution of transgenic Casuarinaceae to our knowledge of the actinorhizal symbioses"
"6251","Auguy F","Characterization of four defense-related genes up-regulated in root nodules of Casuarina glauca"
"6252","Auguy F","Assessment of contamination by metallic trace elements in a mining area of eastern Morocco"
"6253","Augey F","Pathophysiology of urticaria and therapeutic approaches"
"6254","Augey F","Heart failure and stasis ulcer: A significant association (prospective study of 100 cases)"
"6255","Augey F","Severe Sporotrichoid Fishtank Granuloma Following Infliximab Therapy for Crohn's Disease"
"6256","Auguy F","Functional analysis of the metallothionein gene cgMT1 isolated from the actinorhizal tree Casuarina glauca"
"6257","Augey F","Influence of measles vaccination on the progression of atopic dermatitis in infants"
"6258","Auguy F","Auxin influx activity is associated with Frankia infection during actinorhizal nodule formation in Casuarina glauca"
"6259","Auguy F","The cell-cycle promoter cdc2aAt from Arabidopsis thaliana is induced in the lateral roots of the actinorhizal tree Allocasuarina verticillata during the early stages of the symbiotic interaction with Frankia"
"6260","Augey F","Isolated pandysautonomia: a rare cause of palmoplantar keratodermia"
"6261","Augey F","Neither skin tests nor challenge tests are sufficient to provide formal diagnosis of drug allergy or sensitisation. A discussion of the article ""Two medicines of similar imputability in dermal adverse drug reactions (two cases): the limitations of epicutaneous testing?"" by P. Dellestable et al."
"6262","Augey F","Is there a link between chronic urticaria and atopy?"
"6263","Auguy F","Post-transcriptional gene silencing in the root system of the actinorhizal tree Allocasuarina verticillata"
"6264","Auguy F","SymRK defines a common genetic basis for plant root endosymbioses with arbuscular mycorrhiza fungi, rhizobia, and Frankia bacteria"
"6265","Augey F","Eruptive pseudoangiomatosis epidemic in a geriatrics setting"
"6266","Augey F","Impact of corticosteroid withdrawal in chronic urticaria: A prospective study of 17 patients"
"6267","Auguy F","ACTINORHIZAL NODULES AND GENE EXPRESSION"
"6268","Augy J","Anti-aggressiveness effects of clozapine on complex neuropsychiatric pathologies"
"6269","Auguy F","Actinorhizal nitrogen fixing symbiosis: An example of adaptation against soil abiotic stresses"
"6270","Aihonnou T","Ulnar neuropathy following venipuncture"
"6271","Aouhansou M","Asymmetric Total Synthesis of Rugulactone, an alpha-Pyrone from Cryptocarya rugulosa"
"6272","Aihara H","Feasibility of Stomach Exploration with a Guided Capsule Endoscope"
"6273","Aihara M","Genome-wide Association Study of Normal Tension Glaucoma: Common Variants in SRBD1 and ELOVL5 Contribute to Disease Susceptibility"
"6274","Aihara H","Feasibility of stomach exploration with a guided capsule endoscope"
"6275","Aihara H","International Scoping Study (ISS) for a future neutrino factory and Super-Beam facility. Detectors and flux instrumentation for future neutrino facilities"
"6276","Aaij R","Measurement of sigma (pp -> b(b)over-barX) at root s=7 TeV in the forward region"
"6277","Aaij R","Prompt K-S(0) production in pp collisions at root s=0.9 TeV"
"6278","Aouaj MA","Structural, optical, and magnetic properties of Fe-doped ZnO films prepared by spray pyrolysis method"
"6279","Aouaj MA","Elaboration and characterization of Co-doped ZnO thin films deposited by spray pyrolysis technique"
"6280","Aujac G","Ultima Thule: History of a place and origin of a myth"
"6281","Aujard Y","Why a neonatology issue?"
"6282","Aujard Y","Ureaplasma Parvum Meningitis in a Full-term Newborn"
"6283","Aujard F","Gender markedly modulates behavioral thermoregulation in a non-human primate species, the mouse lemur (Microcebus murinus)"
"6284","Aujard Y","Implication of extended-spectrum beta-lactamase enterobacteriaceae in nosocomial infections in neonates"
"6285","Aujard Y","Are Cytochrome P450 CYP2C8 and CYP2C9 Polymorphisms Associated with Ibuprofen Response in Very Preterm Infants?"
"6286","Aujard Y","Association of Meningococcal Phenotypes and Genotypes With Clinical Characteristics and Mortality of Meningitis in Children"
"6287","Aujard F","Secretagogin is a Ca2+-binding protein identifying prospective extended amygdala neurons in the developing mammalian telencephalon"
"6288","Aujard I","Photoactivation of the CreER(T2) Recombinase for Conditional Site-Specific Recombination with High Spatiotemporal Resolution"
"6289","Aujard F","Non-shivering thermogenesis activation and maintenance in the aging gray mouse lemur (Microcebus murinus)"
"6290","Aujard F","Increased Late Night Response to Light Controls the Circadian Pacemaker in a Nocturnal Primate"
"6291","Aujard I","Photocontrol of Protein Activity in Cultured Cells and Zebrafish with One- and Two-Photon Illumination"
"6292","Aujard Y","Outcome of very preterm infants with Mycoplasma/Ureaplasma airway colonization treated with josamycine"
"6293","Aujard Y","Reflections on academic appointments in pediatrics"
"6294","Aujard F","The Grey Mouse Lemur Uses Season-Dependent Fat or Protein Sparing Strategies to Face Chronic Food Restriction"
"6295","Aujard F","Attenuated effect of increased daylength on activity rhythm in the old mouse lemur, a non-human primate"
"6296","Aajoud A","Soil distribution of fipronil and its metabolites originating from a seed-coated formulation"
"6297","Aujard F","Calbindin D-28K protein cells in a primate suprachiasmatic nucleus: localization, daily rhythm and age-related changes"
"6298","Aujard Y","Comparison of CD8(+) T cell responses to cytomegalovirus between human fetuses and their transmitter mothers"
"6299","Aujard Y","Premature rupture of membranes: pathophysiology of neurological impact"
"6300","Aujard I","Two-photon uncaging with fluorescence reporting: Evaluation of the o-hydroxycinnamic platform"
"6301","Aujard Y","Combined multilocus sequence typing and O serogrouping distinguishes Escherichia coli subtypes associated with infant urosepsis and/or meningitis"
"6302","Aujard Y","Detection and identification by PCR of a highly virulent phylogenetic subgroup among extraintestinal pathogenic Escherichia coli B2 strains"
"6303","Aujard Y","Multidrug-resistant bacteria in hospitalized children: A 5-year multicenter study"
"6304","Aujard Y","Determinants of diphemanil methylsulfate (Prantal (R)) utilization: a survey of practice in the French Neonatal and Intensive Care Units"
"6305","Aujard F","Ocular findings in two colonies of gray mouse lemurs (Microcebus murinus)"
"6306","Aujard F","The gray mouse lemur, a primate model for pluridisciplinary approaches on aging"
"6307","Aujard F","Impaired regulation of body temperature, energy balance and IGF-1 levels during chronic cold exposure in an aged primate"
"6308","Aujard Y","Group B streptococcal meningitis' clinical, biological and evolutive features in children"
"6309","Aujard Y","Clinical outcome and bacterial characteristics of 99 Escherichia coli meningitis in young infants"
"6310","Aujard Y","Pneumococcal meningitis in children in France: 832 cases from 2001 to 2007"
"6311","Aujard Y","Surveillance network of bacterial meningitis in children: 7 years of survey in France"
"6312","Aujard Y","Monitoring serum vancomycin concentrations in the treatment of Staphylococcus infections in children"
"6313","Aujard Y","Postnatal glucocorticoids in preterm neonates: use in French neonatal centres in 2006"
"6314","Aujard F","Effects of age on thermoregulatory responses during cold exposure in a nonhuman primate, Microcebus murinus"
"6315","Aujard Y","Association between mortality of Escherichia coli meningitis in young infants and non-virulent clonal groups of strains"
"6316","Aujard I","Alcohol uncaging with fluorescence reporting: Evaluation of o-acetoxyphenyl methyloxazolone precursors"
"6317","Aujard F","Chronic food shortage and seasonal modulations of daily torpor and locomotor activity in the grey mouse lemur (Microcebus murinus)"
"6318","Aujard Y","Pneumococcal meningitis: impact of heptavalent pneumococcal conjugate vaccine"
"6319","Aujard Y","Bacterial meningitis vaccination failure"
"6320","Aajoud A","How can the fipronil insecticide access phloem?"
"6321","Aujard Y","Congenital malaria in neonates: two case reports and review of the literature"
"6322","Aujard Y","Pneumococcal meningitis in the era of pneumococcal conjugate vaccine implementation"
"6323","Aujard Y","Sensitivity of the bacterial meningitis score in 889 children with bacterial meningitis"
"6324","Aujard I","A caged retinoic acid for one- and two-photon excitation in zebrafish embryos"
"6325","Aujard F","Secretagogin is a Ca2+-binding protein specifying subpopulations of telencephalic neurons"
"6326","Aujard Y","Palivizumab immunoprophylaxis: Use in clinical practice, safety and beneficial effects in France"
"6327","Aujard F","Impaired Control of Body Cooling during Heterothermia Represents the Major Energetic Constraint in an Aging Non-Human Primate Exposed to Cold"
"6328","Aujard F","Dietary palmitate and linoleate oxidations, oxidative stress, and DNA damage differ according to season in mouse lemurs exposed to a chronic food deprivation"
"6329","Aujard F","A Novel System of Polymorphic and Diverse NK Cell Receptors in Primates"
"6330","Aujard Y","Glucocorticoide therapy in premature infants: French practices in 2006"
"6331","Aujard Y","Rehospitalization in the first month after discharge from the Neonatal Intensive Care Unit"
"6332","Aujard Y","Materno-fetal infections"
"6333","Aujard F","Resveratrol activates energy metabolism by influencing body temperature, locomotor activity and resting metabolic rate in a non-human primate"
"6334","Aujard F","Daily Rhythms of Core Temperature and Locomotor Activity Indicate Different Adaptive Strategies to Cold Exposure in Adult and Aged Mouse Lemurs Acclimated to a Summer-Like Photoperiod"
"6335","Aujard F","PLASMA LEVELS OF INTERFERON-gamma CORRELATE WITH AGE-RELATED DISTURBANCES OF CIRCADIAN RHYTHMS AND SURVIVAL IN A NON-HUMAN PRIMATE"
"6336","Aujard F","HEALTH STATUS AND NESTING PATTERN IN MALE GRAY MOUSE LEMURS (MICROCEBUS MURINUS)"
"6337","Aujol JF","EXEMPLAR-BASED INPAINTING FROM A VARIATIONAL POINT OF VIEW"
"6338","Aujol JF","Mathematical Modeling of Textures: Application to Color Image Decomposition with a Projected Gradient Algorithm"
"6339","Aujol JF","Resolution-independent characteristic scale dedicated to satellite images"
"6340","Aujol JF","A nonconvex model to remove multiplicative noise"
"6341","Aujol JF","Indexing of satellite images with different resolutions by wavelet features"
"6342","Aujol E","Continuous-wave and ultrafast coherent reflectivity studies of excitons in bulk GaN"
"6343","Aujol JF","A variational approach to removing multiplicative noise"
"6344","Aujol JF","Some First-Order Algorithms for Total Variation Based Image Restoration"
"6345","Aujol JF","Integrating the Normal Field of a Surface in the Presence of Discontinuities"
"6346","Aujol JF","LOCAL SCALE MEASURE FROM THE TOPOGRAPHIC MAP AND APPLICATION TO REMOTE SENSING IMAGES"
"6347","Aujol JF","THE TVL1 MODEL: A GEOMETRIC POINT OF VIEW"
"6348","Aujol JF","THE TVL1 MODEL: A GEOMETRIC POINT OF VIEW"
"6349","Aujol JF","IRREGULAR TO REGULAR SAMPLING, DENOISING, AND DECONVOLUTION"
"6350","Aujol JF","Projected Gradient Based Color Image Decomposition"
"6351","Aujol JF","Locally Parallel Textures Modeling with Adapted Hilbert Spaces"
"6352","Aujollet N","High N-Terminal Pro-B-Type Natriuretic Peptide: A Biomarker of Lung Cancer?"
"6353","Aujollet P","Use of a Heat Pump to Supply Energy to the Iodine-Sulphur Thermochemical Cycle for Hydrogen Production"
"6354","Aujoulat F","Intragenomic and intraspecific heterogeneity in rrs may surpass interspecific variability in a natural population of Veillonella"
"6355","Aujoulat N","New hominid remains associated with gravettian parietal art (Les Garennes, Vilhonneur, France)"
"6356","Aujoulat F","Aquaporin molecular characterization in the sea-bass (Dicentrarchus labrax): The effect of salinity on AQP1 and AQP3 expression"
"6357","Aujoulat F","Osmoregulation as a potential factor for the differential distribution of two cryptic gobiid species, Pomatoschistus microps and P-marmoratus in French Mediterranean lagoons"
"6358","Aujoulat F","Physiological and behavioural responses of Gammarus pulex exposed to acid stress"
"6359","Aujoulat F","Multilocus sequence typing supports the hypothesis that Ochrobactrum anthropi displays a human-associated subpopulation"
"6360","Aujoulat F","Optimized PCR-Temporal Temperature Gel Electrophoresis compared to cultivation to assess diversity of gut microbiota in neonates"
"6361","Aujoulat F","BACTERIAL GUT FLORA DYNAMICS AND CLINICAL EVOLUTION OF EXTREMELY PREMATURE NEONATES"
"6362","Aujoulat F","PROFILING DIVERSITY AND DYNAMICS OF THE DIGESTIVE FLORA IN VERY PREMATURE INFANTS BY 16S RRNA GENE PCR-TTGE"
"6363","Aajjane A","Fifty-year sedimentary record of heavy metal pollution in the lagoon of Oualidia (Moroccan Atlantic coast)"
"6364","Aujean E","Epigenetic modifications and chromatin loop organization explain the different expression profiles of the Tbrg4, WAP and Ramp3 genes"
"6365","Aujouannet Y","Wrist stabilisation and forearm muscle coactivation during freestyle swimming"
"6366","Aujesky D","Prognostic Importance of Hyponatremia in Patients with Acute Pulmonary Embolism"
"6367","Aujesky D","HYPONATREMIA AND SHORT-TERM OUTCOMES IN PATIENTS WITH ACUTE PULMONARY EMBOLISM"
"6368","Aujesky D","Is N-terminal pro-brain natriuretic peptide superior to clinical scores for risk stratification in non-massive pulmonary embolism?"
"6369","Aujesky D","Validation of a clinical prognostic model to identify low-risk patients with pulmonary embolism"
"6370","Aujesky D","Prospective validation of the Pulmonary Embolism Severity Index A clinical prognostic model for pulmonary embolism"
"6371","Aujesky D","Diagnosis of pulmonary embolism by multidetector CT alone or combined with venous ultrasonography of the leg: a randomised non-inferiority trial"
"6372","Aujesky D","The Pulmonary Embolism Severity Index (PESI): Prospective validation of a clinical prognostic model for pulmonary embolism"
"6373","Aujesky D","Hospital volume and patient outcomes in pulmonary embolism"
"6374","Aujesky D","Comparison of the revised Geneva score with the Wells rule for assessing clinical probability of pulmonary embolism"
"6375","Aujesky D","Complete venous ultrasound in outpatients with suspected pulmonary embolism"
"6376","Aoujgal A","Microwave dielectric properties of the system Ba1-xSrxTiO3"
"6377","Aoujgal A","Structural and relaxor behavior of Ba[ZrxTi1-x-y](Zn1/3Nb2/3)(y)O-3 ceramics obtained by a solid-state reaction"
"6378","Aujla H","Differential effects of sigma(1) receptor blockade on self-administration and conditioned reinstatement motivated by cocaine vs natural reward"
"6379","Aijmer G","Rice, Death, and Chiefly Power in Central Borneo"
"6380","Aujay G","Harmonic Skeleton for Realistic Character Animation"
"6381","Aiello G","Transient thermo-hydraulical/thermo-mechanical analysis of the HCLL-TBM for ITER"
"6382","Aiello G","Requirements and proposals for control and monitoring measurements of the HCLL TBM"
"6383","Aiello A","Mock-up testing facilities and qualification strategy for EU ITER TBMs"
"6384","Aiello A","The coolant purification system of the European test blanket modules: Preliminary design"
"6385","Aielli G","Charged-particle multiplicities in pp interactions at root s=900 GeV measured with the ATLAS detector at the LHC ATLAS Collaboration"
"6386","Aielli G","Observation of a Centrality-Dependent Dijet Asymmetry in Lead-Lead Collisions at root s(NN)=2.76 TeV with the ATLAS Detector at the LHC"
"6387","Aielli G","Performance of the ATLAS detector using first collision data"
"6388","Aielli G","Readiness of the ATLAS liquid argon calorimeter for LHC collisions"
"6389","Aielli G","Drift Time Measurement in the ATLAS Liquid Argon Electromagnetic Calorimeter using Cosmic Muons"
"6390","Aielli G","The ATLAS Inner Detector commissioning and calibration"
"6391","Aielli G","The ATLAS Simulation Infrastructure"
"6392","Aielli G","Commissioning of the ATLAS Muon Spectrometer with cosmic rays"
"6393","Aielli G","Readiness of the ATLAS Tile Calorimeter for LHC collisions"
"6394","Aiello S","Microsecond time-resolved Fourier transform infrared analytics in a low pressure glow discharge reactor"
"6395","Aielli G","Search for New Particles in Two-Jet Final States in 7 TeV Proton-Proton Collisions with the ATLAS Detector at the LHC"
"6396","Aulas A","The cell polarity PTK7 receptor acts as a modulator of the chemotherapeutic response in acute myeloid leukemia and impairs clinical outcome"
"6397","Aalhus JL","Consumer choices of pork chops: Results from two Canadian sites"
"6398","Aouali N","Determination of genes and microRNAs involved in the resistance to fludarabine in vivo in chronic lymphocytic leukemia"
"6399","Aulois-Griot M","The innovative medicines in the hospital: the research of regulative system"
